feature,importance
hour_sin,0.50167483
hour,0.193524
rain_rolling_24h,0.0428436
relative_humidity_2m,0.03621288
humidity_lag_1h,0.032997224
rain_rolling_6h,0.032870833
temperature_rolling_3h,0.015994428
latitude,0.014910024
temperature_2m_previous_day1,0.014774033
month,0.014608138
day_of_year,0.011587523
temperature_lag_1h,0.010611109
longitude,0.010217683
hour_cos,0.009834215
day_sin,0.009731614
cloud_cover,0.008209164
day_cos,0.007982584
elevation_m,0.0078854365
precipitation,0.0067942804
temperature_rolling_6h,0.0037858638
temperature_lag_24h,0.0024833744
wind_speed_10m,0.0021387807
temperature_rolling_24h,0.0019682723
temperature_lag_6h,0.0016989427
temperature_lag_3h,0.0016725407
pressure_msl,0.0011337458
pressure_lag_1h,0.0010244558
wind_direction_10m,0.000830511
