feature,importance
hour_sin,0.6379912
hour,0.11444256
hour_cos,0.054885767
relative_humidity_2m_previous_day1,0.036815155
cloud_cover_previous_day1,0.03331907
month,0.01715775
precipitation_previous_day1,0.015794134
longitude,0.014974472
latitude,0.014009996
temperature_2m_previous_day1,0.0113746915
day_sin,0.010318399
day_cos,0.009488541
day_of_year,0.009488536
elevation_m,0.009060209
pressure_msl_previous_day1,0.004152613
wind_speed_10m_previous_day1,0.004128482
wind_direction_10m_previous_day1,0.0025983679
